奉贈韋左丞丈二十二韻 0276,0001,123
送高三十五書記 0388,0002,123
贈李白 0076,0003,123
遊龍門奉先寺 0042,0004,123
望嶽 0003,0005,123
陪李北海宴歷下亭 0079,0006,124
登歷下古城員外孫新亭 0084,0007,124
玄都壇歌寄元逸人 0271,0008,124
今夕行 0144,0009,124
貧交行 0317,0010,124
兵車行 0229,0011,124
高都護騘馬行 0167,0012,125
天育驃騎歌 0549,0013,125
白絲行 0319,0014,125
秋雨歎三首 0465-1,0015-1,125
秋雨歎三首 0465-2,0015-2,125
秋雨歎三首 0465-3,0015-3,125
歎庭前甘菊花 0490,0016,125
醉時歌 0409,0017,125
醉歌行 0598,0018,126
贈衞八處士 1324,0019,126
苦雨奉寄隴西公兼呈王徵士 0476,0020,126
同諸公登慈恩寺塔 0295,0021,126




杜鵑 3491,,172
引水 3544,,172
青絲 3463
近聞 3502
漁陽 2743
黃河 3197-
自平 5269
除草 3342
客居 3504
客堂 3537
石硯詩 0338
三韻三篇 3381-
柴門 4566
貽華陽柳少府 3612
同元使君舂陵行 4813
狄明府 4803
寄韓諫議 4822
課伐木 4556
園人送瓜 4551
信行遠修水筒 3664
槐葉冷淘 4573
行官張望補稻畦水歸 4627
催宗文樹雞柵 3670
園官送菜 4546
上後園山脚 4578
驅豎子摘蒼耳 3678
昔遊 4110
雷 3619
火 3643
往在 4129,,178
七月三日亭午已後校熱退晚加小涼穩睡有詩因論壯年樂事戲呈元二十一曹長 3633
牽牛織女 3649
毒熱寄簡崔評事十六弟 3658
壯遊 4083
阻雨不得歸瀼西甘林 4653
雨 3694
雨二首 3702-
又上後園山脚 4659
雨 4679
贈李十五丈別 3726
贈鄭十八賁 3511

